GC-code;Cache name;Type;Size;Difficulty;Terrain;Latitude;Longitude;Elevation (m);Last publish date;Region;County;Archived;Locked;Disabled;Premium;Finds;FP;FP%;FPW;Placed by;Owner;Found
GC97WG2;Hrubý Jano;Traditional Cache;Small;3.0;4.0;N 49° 09.810;E 019° 11.443;984;2021-04-01;Žilinský kraj;Dolný Kubín;0;0;0;0;94;4;9.0909;3.592161;binkáči;binkáči;
GC9800M;Pramene Turca 8 - Prameň Tiešňava;Traditional Cache;Micro;3.5;2.0;N 49° 07.516;E 019° 06.149;447;2021-03-23;Žilinský kraj;Martin;0;0;0;0;58;1;3.8462;0.682181;antilogicSVK;antilogicSVK;
GC9820G;"Len taka dalsia ""ihla v kope...""";Traditional Cache;Micro;4.0;1.5;N 49° 12.136;E 018° 45.569;374;2021-04-01;Žilinský kraj;Žilina;0;0;0;0;96;41;62.1212;50.058254;varecha;varecha;
GC982F0;VODOJEMOVÁ;Unknown Cache;Small;2.0;2.5;N 49° 03.688;E 019° 36.026;672;2021-03-25;Žilinský kraj;Liptovský Mikuláš;0;0;0;0;31;4;25.0;10.181902;feri99;feri99;
GC983ZJ;Meteorologická;Unknown Cache;Small;4.0;1.5;N 48° 43.900;E 019° 05.300;575;2021-03-27;Banskobystrický kraj;Banská Bystrica;0;0;0;1;47;2;5.0;1.382038;šmahlo;šmahlo;
GC9849E;Kamenný strom u Jurdov;Traditional Cache;Small;2.5;2.5;N 49° 21.886;E 018° 42.178;829;2021-03-26;Žilinský kraj;Kysucké Nové Mesto;0;0;0;0;40;0;0.0;0.0;Jaro_SK SOFI275;Jaro_SK;
GC984V3;Krásna 630 m n. m.;Traditional Cache;Small;2.0;2.5;N 49° 04.197;E 018° 52.212;632;2021-03-27;Žilinský kraj;Martin;0;0;0;0;24;1;8.3333;1.486471;29Februar;29Februar;
GC9850H;Žabičkine narodeniny 🐸❤️;Traditional Cache;Micro;2.5;1.5;N 48° 43.224;E 019° 07.157;406;2021-03-29;Banskobystrický kraj;Banská Bystrica;0;0;0;0;91;1;1.7241;0.304996;Petrof5;Petrof5;
GC9853M;Zadný háj;Multi-cache;Other;3.0;3.0;N 48° 43.794;E 019° 05.260;598;2021-03-27;Banskobystrický kraj;Banská Bystrica;0;0;0;0;25;17;80.9524;59.999013;dlw11;dlw11;
GC986J4;Hriňová Vrchslatina - tradičný dom;Traditional Cache;Small;1.5;1.5;N 48° 38.565;E 019° 36.463;942;2021-03-27;Banskobystrický kraj;Detva;0;0;0;0;33;2;9.0909;2.52949;ciamporova a žiaci SŠ Detva;ciamporova;
GC986KV;Stožok a jeho smutná zvonica;Traditional Cache;Small;2.5;2.0;N 48° 30.597;E 019° 21.220;539;2021-04-27;Banskobystrický kraj;Detva;0;0;0;0;27;1;8.3333;1.486471;ciamporova a žiaci SŠ Detva;ciamporova;
GC986MZ;Náhrobníky v Dolnom Tisovníku;Traditional Cache;Micro;2.0;1.5;N 48° 23.508;E 019° 22.796;379;2021-04-04;Banskobystrický kraj;Detva;0;0;0;0;32;1;6.25;1.111906;ciamporova a žiaci SŠ Detva;ciamporova;
GC986P7;Dolná Bzová - Hupkova Pec;Traditional Cache;Small;2.0;1.0;N 48° 31.175;E 019° 30.023;368;2021-04-04;Banskobystrický kraj;Lučenec;0;0;0;0;64;1;3.3333;0.590844;ciamporova a žiaci SŠ Detva;ciamporova;
GC988DE;Zašlá sláva Revúcej 4.;Unknown Cache;Micro;2.0;2.0;N 48° 41.339;E 020° 05.847;334;2021-03-28;Banskobystrický kraj;Revúca;0;0;0;0;19;2;14.2857;4.009307;Marcelka78;Marcelka78;
GC988YJ;Hronská Dúbrava - machová skala 🪨;Traditional Cache;Small;1.5;3.0;N 48° 34.651;E 019° 00.018;322;2021-03-29;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;34;0;0.0;0.0;Patreso;Patreso;
GC98BTV;Nezabudneme!;Traditional Cache;Small;1.5;1.5;N 48° 36.680;E 018° 42.601;544;2021-03-30;Banskobystrický kraj;Žiar nad Hronom;0;0;0;1;32;3;10.7143;3.711769;jahur;jahur;
GC98C4E;Bezbranná;Unknown Cache;Other;2.5;2.0;N 49° 02.700;E 019° 43.900;652;2021-03-30;Žilinský kraj;Liptovský Mikuláš;0;0;0;0;43;14;43.75;28.165086;R_W_K;R_W_K;
GC98CY4;Snoh - 641 m.n.m.;Traditional Cache;Small;1.5;2.5;N 49° 13.748;E 018° 41.099;655;2021-03-31;Žilinský kraj;Žilina;0;0;0;0;51;0;0.0;0.0;djmajino;djmajino;
GC98DJ2;Pod cintorínom;Traditional Cache;Small;2.5;2.0;N 48° 20.347;E 019° 40.952;203;2021-03-31;Banskobystrický kraj;Lučenec;0;0;0;0;58;1;2.7778;0.492028;OndatraCrew;OndatraCrew;
GC98DX3;LAB bonus: Churches of the Gothic Route;Unknown Cache;Small;3.5;1.5;N 48° 35.000;E 020° 12.000;276;2021-04-01;Banskobystrický kraj;Revúca;0;0;0;0;6;0;0.0;0.0;-messor-;-messor-;
GC98ECW;Dubník - 605 m.n.m.;Traditional Cache;Small;1.5;2.5;N 49° 14.094;E 018° 40.803;627;2021-04-01;Žilinský kraj;Žilina;0;0;0;0;29;0;0.0;0.0;djmajino;djmajino;
GC98EDN;Háj - 594 m.n.m.;Traditional Cache;Small;1.5;2.5;N 49° 13.942;E 018° 40.060;605;2021-04-01;Žilinský kraj;Žilina;0;0;0;0;29;0;0.0;0.0;djmajino;djmajino;
GC98EVX;Vlek Strelníky;Traditional Cache;Micro;1.5;3.0;N 48° 43.015;E 019° 24.351;712;2021-04-02;Banskobystrický kraj;Banská Bystrica;0;0;0;1;23;1;5.5556;0.987494;SteniatkoFamily;SteniatkoFamily;
GC98EW2;Vlek Šachtičky;Traditional Cache;Micro;2.5;3.5;N 48° 48.272;E 019° 08.898;952;2021-04-02;Banskobystrický kraj;Banská Bystrica;0;0;0;1;80;1;1.4706;0.260062;SteniatkoFamily;SteniatkoFamily;
GC98EWB;Vlek Turecká;Traditional Cache;Micro;1.5;2.5;N 48° 50.929;E 019° 05.500;655;2021-04-02;Banskobystrický kraj;Banská Bystrica;0;0;0;1;49;0;0.0;0.0;SteniatkoFamily;SteniatkoFamily;
GC98EWJ;Vlek Dolný Harmanec;Traditional Cache;Micro;1.5;3.0;N 48° 48.568;E 019° 03.098;504;2021-04-02;Banskobystrický kraj;Banská Bystrica;0;0;0;1;30;0;0.0;0.0;SteniatkoFamily;SteniatkoFamily;
GC98G85;Javorinka - salašnícke objekty;Traditional Cache;Small;1.5;2.5;N 48° 36.559;E 019° 30.055;932;2021-04-02;Banskobystrický kraj;Detva;0;0;0;0;33;1;4.3478;0.771647;nalkask;nalkask;
GC98GF9;Zerov bonus;Unknown Cache;Other;2.5;3.0;N 48° 44.123;E 019° 04.567;575;2021-04-04;Banskobystrický kraj;Banská Bystrica;0;0;0;0;28;22;88.0;70.043808;dlw11;dlw11;
GC98HC8;Úkorová 3;Traditional Cache;Other;1.5;3.5;N 48° 41.622;E 020° 08.052;493;2021-04-02;Banskobystrický kraj;Revúca;0;0;0;0;12;1;16.6667;3.005259;Marcelka78;Marcelka78;
GC98HXE;Vysielačová 4;Traditional Cache;Small;1.5;3.0;N 48° 41.431;E 020° 07.859;520;2021-04-03;Banskobystrický kraj;Revúca;0;0;0;0;12;0;0.0;0.0;Marcelka78;Marcelka78;
GC98JGY;Pramienok ;Traditional Cache;Micro;1.5;2.0;N 49° 13.137;E 018° 38.553;502;2021-04-03;Žilinský kraj;Žilina;0;0;0;0;43;0;0.0;0.0;katulienka0602;katulienka0602;
GC98JQZ;Hríb 590m n.m.;Traditional Cache;Other;3.0;2.5;N 49° 02.309;E 019° 00.059;597;2021-04-03;Žilinský kraj;Martin;0;0;0;0;28;6;31.5789;15.364171;piraneMT;piraneMT;
GC98JWP;Liptovsky kanalgrazel;Unknown Cache;Micro;4.0;4.5;N 49° 04.000;E 019° 38.000;598;2021-04-05;Žilinský kraj;Liptovský Mikuláš;0;0;0;0;11;0;0.0;0.0;Koyel;Koyel;
GC98JXQ;Končitý vrch 1097 m.n.m.;Traditional Cache;Small;2.0;3.0;N 49° 01.085;E 019° 04.500;1105;2021-04-04;Žilinský kraj;Martin;0;0;0;0;13;1;12.5;2.241691;kepke3;kepke3;
GC98JYC;Grúň (1 118 m n. m.);Traditional Cache;Small;1.5;3.0;N 49° 09.016;E 018° 51.758;1119;2021-04-03;Žilinský kraj;Žilina;0;0;0;0;20;1;8.3333;1.486471;gedzit;gedzit;
GC98K23;Keška či Kečka 1139 m.n.m.?;Multi-cache;Small;2.0;3.0;N 49° 00.905;E 019° 05.123;1050;2021-04-04;Žilinský kraj;Martin;0;0;0;0;12;2;25.0;7.147769;kepke3;kepke3;
GC98M7B;Hax - Výhľad na Ľadoňhoru;Traditional Cache;Small;2.0;2.0;N 49° 16.196;E 018° 53.541;540;2021-04-03;Žilinský kraj;Kysucké Nové Mesto;0;0;0;0;27;0;0.0;0.0;Haxter888;Haxter888;
GC98MCC;Veľká stráň 595 m n. m.;Traditional Cache;Small;1.5;3.0;N 48° 57.953;E 018° 47.721;595;2021-04-04;Žilinský kraj;Martin;0;0;0;0;45;3;10.3448;3.581424;29Februar;29Februar;
GC98NVZ;Linhartovka;Traditional Cache;Small;1.5;2.0;N 48° 43.945;E 019° 23.492;560;2021-04-05;Banskobystrický kraj;Banská Bystrica;0;0;0;0;44;2;9.0909;2.52949;mini a mohutne;mini a mohutne;
GC98NW4;Permoníkov poklad;Traditional Cache;Small;2.0;3.0;N 48° 47.378;E 019° 08.371;991;2021-04-05;Banskobystrický kraj;Banská Bystrica;0;0;0;0;44;3;9.0909;3.140337;mini a mohutne;mini a mohutne;
GC98P23;Borovica lesná (stromolezecká);Traditional Cache;Regular;2.0;5.0;N 49° 10.650;E 018° 35.575;469;2021-04-05;Žilinský kraj;Bytča;0;0;0;0;96;2;3.5714;0.984922;tidzej;tidzej;
GC98P9J;Stromová 1;Unknown Cache;Small;3.5;3.0;N 48° 43.850;E 019° 05.200;606;2021-04-08;Banskobystrický kraj;Banská Bystrica;0;0;0;1;28;2;9.5238;2.651821;šmahlo;šmahlo;
GC98PCC;Hax - Prírodný Amfiteáter Vadičov;Traditional Cache;Regular;2.0;2.0;N 49° 17.155;E 018° 53.985;582;2021-04-05;Žilinský kraj;Kysucké Nové Mesto;0;0;0;0;31;1;5.5556;0.987494;Haxter888;Haxter888;
GC98PEW;Malá kopa (759 m n.m.);Traditional Cache;Regular;2.0;2.5;N 49° 08.004;E 018° 52.680;769;2021-04-05;Žilinský kraj;Martin;0;0;0;0;38;1;4.5455;0.806922;gedzit;gedzit;
GC98PMG;Zašlá sláva Revúcej - BONUS;Traditional Cache;Other;1.5;2.0;N 48° 40.103;E 020° 06.563;381;2021-04-05;Banskobystrický kraj;Revúca;0;0;0;0;25;1;7.1429;1.272189;Marcelka78;Marcelka78;
GC98RAW;Letters #8;Unknown Cache;Small;4.0;2.0;N 48° 44.590;E 019° 11.490;369;2021-04-07;Banskobystrický kraj;Banská Bystrica;0;0;0;0;47;3;8.5714;2.958183;hubár;hubár;
GC98RVE;Hax - Požeha;Traditional Cache;Regular;2.0;2.0;N 49° 15.269;E 018° 53.976;675;2021-04-06;Žilinský kraj;Kysucké Nové Mesto;0;0;0;0;17;0;0.0;0.0;Haxter888;Haxter888;
GC98RZD;Raticov vrch – rodný dom Štefana Nosáľa;Traditional Cache;Small;1.5;1.5;N 48° 35.316;E 019° 29.173;626;2021-04-05;Banskobystrický kraj;Detva;0;0;0;0;54;2;6.4516;1.787441;nalkask;nalkask;
GC98T81;Studničky pod Ladoňhorou;Traditional Cache;Small;2.0;2.0;N 49° 16.705;E 018° 53.155;685;2021-04-05;Žilinský kraj;Kysucké Nové Mesto;0;0;0;0;27;1;5.8824;1.046013;Davit125;Davit125;
GC98TQ2;Cyklotrasa Pstruša 3;Traditional Cache;Small;1.5;2.5;N 48° 31.330;E 019° 20.450;478;2021-04-06;Banskobystrický kraj;Detva;0;0;0;0;25;4;30.7692;12.680497;P.E.O.P.L.E;P.E.O.P.L.E;
GC98VTW;Veselý cyklista;Traditional Cache;Other;2.5;2.5;N 48° 45.003;E 019° 18.743;458;2021-04-09;Banskobystrický kraj;Banská Bystrica;0;0;1;0;15;3;30.0;10.778929;mini a mohutne;mini a mohutne;
GC98W1Q;Hor sa opekať!;Traditional Cache;Small;1.5;2.0;N 49° 10.519;E 018° 53.180;371;2021-07-27;Žilinský kraj;Žilina;0;0;0;0;238;1;0.9901;0.174987;LEHOVCI;LEHOVCI;
GC98W2E;Terchovský kameň;Unknown Cache;Small;1.5;1.5;N 49° 15.450;E 019° 01.800;517;2021-05-13;Žilinský kraj;Žilina;0;0;0;1;116;7;7.2917;3.576713;LEHOVCI;LEHOVCI;
GC98WK5;Budzogánik;Traditional Cache;Small;2.5;3.0;N 49° 08.537;E 018° 41.538;767;2021-04-07;Žilinský kraj;Žilina;0;0;0;0;63;1;2.8571;0.506136;minulo;miňulo;
GC98WMJ;Senkov vrch - 570 m.n.m.;Traditional Cache;Small;1.5;2.5;N 49° 13.679;E 018° 39.046;565;2021-04-07;Žilinský kraj;Žilina;0;0;0;0;39;0;0.0;0.0;djmajino;djmajino;
GC98WMZ;Viešky - 539 m.n.m.;Traditional Cache;Small;2.5;2.5;N 49° 13.335;E 018° 39.065;539;2021-04-07;Žilinský kraj;Žilina;0;0;0;0;43;0;0.0;0.0;djmajino;djmajino;
GC98WT6;Najstarsi Vodojem;Traditional Cache;Micro;1.5;2.0;N 48° 44.771;E 019° 08.213;392;2021-04-10;Banskobystrický kraj;Banská Bystrica;0;0;0;0;112;1;1.5625;0.276347;Firewal;Firewal;
GC98YD9;Včelnica Kašička;Traditional Cache;Small;2.0;2.0;N 49° 17.244;E 018° 54.932;646;2021-04-08;Žilinský kraj;Kysucké Nové Mesto;0;0;0;0;34;4;18.1818;7.306766;Davit125;Davit125;
GC98YJJ;Lúka pod hradom - studnička;Traditional Cache;Regular;1.5;2.5;N 49° 10.619;E 018° 35.255;551;2021-04-09;Žilinský kraj;Bytča;0;0;0;0;319;2;1.3333;0.366405;tidzej;tidzej;
GC9900Z;oxidan;Traditional Cache;Micro;2.5;1.5;N 48° 51.325;E 018° 52.791;545;2021-04-10;Žilinský kraj;Turčianske Teplice;0;0;0;0;66;0;0.0;0.0;n0t0ne;n0t0ne;
GC99029;(Ne)známa kaplnka;Traditional Cache;Small;1.5;2.0;N 49° 13.248;E 018° 37.447;348;2021-04-09;Žilinský kraj;Žilina;0;0;0;0;99;3;6.383;2.194499;djmajino;djmajino;
GC9931R;Kríž na Prednom Choči;Traditional Cache;Small;3.5;3.5;N 49° 07.378;E 019° 20.460;1172;2021-04-13;Žilinský kraj;Ružomberok;0;0;0;0;26;3;30.0;10.778929;binkáči;binkáči;
GC993T1;Morena;Unknown Cache;Other;4.5;2.5;N 48° 44.666;E 019° 05.333;452;2021-04-18;Banskobystrický kraj;Banská Bystrica;0;0;0;0;26;6;27.2727;13.150582;dlw11;dlw11;
GC993TK;VN Lovča;Traditional Cache;Small;1.5;1.5;N 48° 34.518;E 018° 47.429;258;2021-04-11;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;45;0;0.0;0.0;jahur;jahur;
GC993V5;Perún;Unknown Cache;Small;2.5;2.5;N 48° 44.743;E 019° 05.361;464;2021-04-18;Banskobystrický kraj;Banská Bystrica;0;0;0;0;28;3;12.5;4.344255;dlw11;dlw11;
GC9940V;Drábsko – osada Kysuca;Traditional Cache;Small;1.5;1.5;N 48° 39.312;E 019° 41.055;851;2021-04-11;Banskobystrický kraj;Brezno;0;0;0;0;22;3;37.5;13.684176;nalkask;nalkask;
GC9947T;Černoboh;Unknown Cache;Other;2.5;2.5;N 48° 44.753;E 019° 05.371;449;2021-04-18;Banskobystrický kraj;Banská Bystrica;0;0;0;0;28;4;16.6667;6.678568;dlw11;dlw11;
GC99486;Rod;Unknown Cache;Small;3.0;4.5;N 48° 44.763;E 019° 05.381;439;2021-04-18;Banskobystrický kraj;Banská Bystrica;0;0;0;0;23;5;25.0;11.186005;dlw11;dlw11;
GC994PT;Horný diel (996 m.n.m.);Traditional Cache;Small;1.5;3.0;N 48° 47.226;E 019° 08.551;990;2021-05-15;Banskobystrický kraj;Banská Bystrica;0;0;0;0;46;2;6.0606;1.678053;Mikme;Mikme;
GC994RA;Vrania skala 1004 m n. m.;Traditional Cache;Small;2.0;3.0;N 48° 57.450;E 018° 40.209;1007;2021-04-11;Žilinský kraj;Martin;0;0;0;0;13;1;12.5;2.241691;29Februar;29Februar;
GC994WY;Bukovec 1148 m.n.m.;Traditional Cache;Small;2.0;3.0;N 48° 57.541;E 018° 38.941;1143;2021-04-11;Žilinský kraj;Martin;0;0;0;0;12;4;57.1429;25.045423;kepke3;kepke3;
GC99503;Nie je rytmus ako rytmus **;Unknown Cache;Micro;2.0;1.5;N 48° 45.320;E 019° 07.020;636;2021-04-26;Banskobystrický kraj;Banská Bystrica;0;0;0;0;44;1;3.125;0.553772;kikavika;kikavika;
GC995PR;Cigánska chyžka;Traditional Cache;Small;1.5;1.5;N 48° 33.749;E 019° 31.749;502;2021-04-11;Banskobystrický kraj;Detva;0;0;0;0;77;0;0.0;0.0;ciamporova a žiaci SŠ Detva;ciamporova;
GC995QM;Dom umenia Arteska;Traditional Cache;Small;1.5;1.5;N 48° 33.562;E 019° 25.080;409;2021-04-11;Banskobystrický kraj;Detva;0;0;0;0;133;2;2.9412;0.810301;ciamporova a žiaci SŠ Detva;ciamporova;
GC995VA;Ranč Vrchdobroč;Traditional Cache;Small;1.5;1.5;N 48° 33.172;E 019° 34.925;858;2021-04-13;Banskobystrický kraj;Detva;0;0;0;0;24;1;10.0;1.787575;ciamporova a žiaci SŠ Detva;ciamporova;
GC9965W;Biltema;Traditional Cache;Micro;4.5;1.5;N 48° 40.634;E 019° 09.034;351;2021-04-11;Banskobystrický kraj;Banská Bystrica;0;0;0;0;51;6;14.2857;6.715876;Coare;Coare;
GC99661;Výhliadka na Haliny;Traditional Cache;Small;2.5;4.5;N 49° 02.987;E 019° 16.529;922;2021-04-17;Žilinský kraj;Ružomberok;0;0;0;0;25;4;25.0;10.181902;binkáči;binkáči;
GC996MC;Nie je rytmus ako rytmus ***;Unknown Cache;Micro;3.0;2.0;N 48° 45.320;E 019° 07.270;633;2021-04-26;Banskobystrický kraj;Banská Bystrica;0;0;0;0;43;1;3.125;0.553772;kikavika;kikavika;
GC996NC;Nie je rytmus ako rytmus ****;Unknown Cache;Micro;4.0;4.0;N 48° 45.430;E 019° 07.145;627;2021-04-26;Banskobystrický kraj;Banská Bystrica;0;0;0;0;40;7;23.3333;11.792239;kikavika;kikavika;
GC9971T;Knihy;Traditional Cache;Other;5.0;1.0;N 49° 03.740;E 018° 56.482;415;2021-04-23;Žilinský kraj;Martin;0;0;0;0;159;52;50.0;40.563023;kepke3;kepke3;1.0
GC9975B;Kozie chrbty 875m n. m.;Traditional Cache;Micro;2.0;3.0;N 48° 44.822;E 018° 49.480;883;2021-04-12;Žilinský kraj;Turčianske Teplice;0;0;0;0;23;3;23.0769;8.179379;piraneMT;piraneMT;
GC997AV;Kalište - Adventure LAB bonus;Unknown Cache;Micro;2.0;2.0;N 48° 50.136;E 019° 13.137;913;2021-04-17;Banskobystrický kraj;Banská Bystrica;0;0;0;0;45;9;25.7143;14.162869;cacherkajo;cacherkajo;1.0
GC997NV;Kde spáva kuriatko 🐣;Traditional Cache;Small;1.5;2.0;N 48° 28.318;E 019° 06.665;369;2021-04-12;Banskobystrický kraj;Zvolen;0;0;0;0;63;1;2.6316;0.466047;Turrican_ & Snaky0999;Turrican_;
GC9980K;Hluchá - 480 m.n.m.;Traditional Cache;Small;2.5;2.5;N 49° 11.903;E 018° 39.688;491;2021-04-12;Žilinský kraj;Žilina;0;0;0;0;46;0;0.0;0.0;kaso02;kaso02;
GC998EP;Most nad Malachovským potokom;Traditional Cache;Micro;1.5;1.5;N 48° 42.975;E 019° 06.995;389;2021-04-13;Banskobystrický kraj;Banská Bystrica;0;0;0;0;95;2;3.9216;1.082086;Svištík28;žabička29;
GC998NK;Briežky - 492 m.n.m.;Traditional Cache;Small;1.5;2.0;N 49° 11.237;E 018° 39.352;488;2021-04-12;Žilinský kraj;Žilina;0;0;0;0;74;0;0.0;0.0;djmajino;djmajino;
GC998P4;Bodov - 506 m.n.m.;Traditional Cache;Small;1.5;2.0;N 49° 12.532;E 018° 39.372;516;2021-04-12;Žilinský kraj;Žilina;0;0;0;0;41;0;0.0;0.0;djmajino;djmajino;
GC998QB;Krížne cesty;Traditional Cache;Micro;2.0;2.0;N 49° 09.445;E 018° 48.166;527;2021-07-12;Žilinský kraj;Žilina;0;0;0;1;34;2;6.8966;1.912086;Mita & Chorche;Mita & Chorche;
GC998TN;BONUS - Adventure Lab: Modrá Žilina;Unknown Cache;Small;2.5;1.5;N 49° 12.967;E 018° 46.321;335;2021-04-13;Žilinský kraj;Žilina;0;0;0;0;51;1;2.5641;0.454059;djmajino;djmajino;
GC998ZG;Letters #9;Unknown Cache;Small;4.0;2.0;N 48° 44.590;E 019° 11.670;368;2021-04-14;Banskobystrický kraj;Banská Bystrica;0;0;0;0;47;4;11.4286;4.535106;hubár;hubár;
GC99915;Lesnícky náučný chodník Dolná hora;Multi-cache;Small;2.0;2.0;N 49° 07.945;E 018° 41.390;431;2021-04-25;Žilinský kraj;Žilina;0;0;0;0;71;2;4.0816;1.12654;djmajino;djmajino;
GC9999D;Požiar;Traditional Cache;Small;1.5;2.0;N 49° 11.211;E 018° 37.464;701;2021-05-06;Žilinský kraj;Žilina;0;0;0;0;33;1;5.0;0.888122;djmajino;djmajino;
GC99ANW;Prechádzky Tureckou 1;Multi-cache;Small;3.0;2.0;N 48° 50.858;E 019° 05.363;609;2021-04-13;Banskobystrický kraj;Banská Bystrica;0;0;0;0;29;6;30.0;14.547527;Adda_bb;Adda_bb;
GC99AYR;Srdcové hlášky? 3;Letterbox Hybrid;Small;4.5;2.0;N 49° 10.777;E 018° 30.555;297;2021-05-11;Žilinský kraj;Bytča;0;0;0;0;21;6;31.5789;15.364171;Galky;Galky;
GC99BFB;Svrčinník - 1313 m.n.m.;Traditional Cache;Small;2.0;3.0;N 48° 48.321;E 018° 59.332;1312;2021-05-04;Žilinský kraj;Turčianske Teplice;0;0;0;0;32;0;0.0;0.0;tigino;tigino;
GC99C22;Letters #10;Unknown Cache;Micro;3.0;2.5;N 48° 45.190;E 019° 10.950;403;2021-04-25;Banskobystrický kraj;Banská Bystrica;0;0;0;0;41;3;9.375;3.240096;Firewal;Firewal;
GC99CFJ;Ružomberská (po-)schodová;Multi-cache;Micro;3.5;1.5;N 49° 04.838;E 019° 18.222;483;2021-04-17;Žilinský kraj;Ružomberok;0;0;0;0;63;5;12.1951;5.323258;dusko;dusko;
GC99CTG;Pamätník Badín (reloaded);Traditional Cache;Small;1.5;1.5;N 48° 40.189;E 019° 07.694;361;2021-04-15;Banskobystrický kraj;Banská Bystrica;0;0;0;0;193;1;1.0417;0.184112;SamSchw;SamSchw;
GC99DT9;Ružomberská radnica;Unknown Cache;Micro;3.5;1.5;N 49° 04.885;E 019° 18.180;499;2021-04-17;Žilinský kraj;Ružomberok;0;0;0;0;77;4;7.0175;2.762597;dusko;dusko;
GC99G1V;Compact Cassette R.I.P. - reloated;Unknown Cache;Regular;3.5;1.0;N 49° 05.007;E 019° 18.292;479;2021-04-19;Žilinský kraj;Ružomberok;0;0;0;0;72;34;56.6667;44.103215;dusko;dusko;
GC99GBK;Ružová 5;Traditional Cache;Micro;1.5;1.5;N 48° 40.335;E 020° 07.288;326;2021-04-17;Banskobystrický kraj;Revúca;0;0;0;0;28;0;0.0;0.0;Marcelka78;Marcelka78;
GC99GFF;Lada bonus;Unknown Cache;Regular;3.5;3.5;N 48° 44.703;E 019° 05.301;488;2021-04-18;Banskobystrický kraj;Banská Bystrica;0;0;0;0;28;20;76.9231;57.948074;dlw11;dlw11;
GC99GJF;Revúcke sochy;Multi-cache;Micro;2.5;1.5;N 48° 41.117;E 020° 07.136;322;2021-04-17;Banskobystrický kraj;Revúca;0;0;0;0;18;0;0.0;0.0;Marcelka78;Marcelka78;
GC99GN2;Čertovica - driveinn 👹;Traditional Cache;Small;3.0;2.5;N 48° 54.321;E 019° 44.136;1232;2021-04-17;Banskobystrický kraj;Brezno;0;0;0;0;257;1;0.6452;0.113975;Turrican_ & PauliRa;Turrican_;
GC99HM7;Gazdovstvo Štoliansko;Traditional Cache;Small;1.5;1.5;N 48° 34.192;E 019° 34.008;743;2021-04-18;Banskobystrický kraj;Detva;0;0;0;0;12;1;16.6667;3.005259;nalkask;nalkask;
GC99HN2;Farma Skliarovo;Traditional Cache;Small;1.5;1.5;N 48° 35.321;E 019° 27.747;631;2021-04-18;Banskobystrický kraj;Detva;0;0;0;0;33;0;0.0;0.0;nalkask;nalkask;
GC99J6F;Micro Challenge;Unknown Cache;Micro;5.0;3.0;N 48° 47.100;E 019° 11.550;465;2021-06-01;Banskobystrický kraj;Banská Bystrica;0;0;0;0;10;0;0.0;0.0;Mikme;Mikme;
GC99J6W;Small Challenge;Unknown Cache;Small;5.0;3.5;N 48° 47.200;E 019° 11.550;480;2021-06-01;Banskobystrický kraj;Banská Bystrica;0;0;0;0;9;0;0.0;0.0;Mikme;Mikme;
GC99JCA;BONUS - Šramková;Traditional Cache;Small;3.0;2.0;N 48° 41.980;E 020° 05.330;342;2021-04-18;Banskobystrický kraj;Revúca;0;0;0;0;17;0;0.0;0.0;Marcelka78;Marcelka78;
GC99KYB;Mylný Grúň;Traditional Cache;Small;1.5;4.0;N 49° 06.069;E 018° 46.119;1009;2021-04-20;Žilinský kraj;Žilina;0;0;0;0;4;1;25.0;4.558606;TURKY912;TURKY912;
GC99N7K;Osobnosti Revúcej;Traditional Cache;Other;2.5;1.5;N 48° 41.329;E 020° 06.699;323;2021-04-19;Banskobystrický kraj;Revúca;0;0;0;0;74;7;15.9091;7.926577;Marcelka78;Marcelka78;
GC99NJT;Pršianka;Traditional Cache;Small;2.0;1.5;N 48° 42.743;E 019° 06.649;457;2021-04-22;Banskobystrický kraj;Banská Bystrica;0;0;0;0;78;0;0.0;0.0;Spurf;Spurf;
GC99Q7H;ZABUDNUTÝ VODNÝ KANÁL;Traditional Cache;Small;1.5;1.5;N 49° 04.162;E 019° 18.245;486;2021-04-20;Žilinský kraj;Ružomberok;0;0;0;0;165;2;2.3529;0.647638;GREGORKO123;GREGORKO123;
GC99RHP;Žiar;Traditional Cache;Regular;1.5;4.0;N 49° 06.336;E 018° 44.576;1027;2021-04-20;Žilinský kraj;Žilina;0;0;0;0;9;2;40.0;11.761823;TURKY912;TURKY912;
GC99T5F;GEO Plechy (695 m. n. m.);Unknown Cache;Small;2.0;3.0;N 49° 07.181;E 019° 34.588;694;2021-04-21;Žilinský kraj;Liptovský Mikuláš;0;0;0;0;12;2;22.2222;6.322376;feri99;feri99;
GC99VTE;BONUS - Adventure Lab: Slovenský klenot - Terchová;Unknown Cache;Small;1.5;1.5;N 49° 15.500;E 019° 02.100;552;2021-09-27;Žilinský kraj;Žilina;0;0;0;0;107;21;25.0;16.972189;LEHOVCI;LEHOVCI;
GC99W4K;Medvedia stopa;Multi-cache;Small;1.5;2.0;N 49° 15.314;E 019° 02.500;545;2021-05-13;Žilinský kraj;Žilina;0;0;0;0;162;15;13.7615;8.520257;LEHOVCI;LEHOVCI;
GC99WET;R2 - obchvat ZH;Unknown Cache;Micro;1.5;1.5;N 48° 34.665;E 018° 50.206;264;2021-04-23;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;38;0;0.0;0.0;jahur;jahur;
